info @storybook/react v6.4.0
info 
info => Cleaning outputDir: C:\\Users\\mark\\AppData\\Local\\Temp\\chromatic--58512-d9QU5v4gBxJZ
info => Loading presets
info => Compiling manager..
info => Compiling preview..
info => Loading Webpack configuration from `node_modules\react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack4 setup
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\core-server\node_modules\@storybook\core-client\dist\esm\globals\polyfills.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\core-server\node_modules\@storybook\core-client\dist\esm\globals\globals.js C:\Users\mark\Desktop\sandbox\taskbox\storybook-init-framework-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\config.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\react\dist\esm\client\preview\config-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-links\dist\esm\preset\addDecorator.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-actions\dist\esm\preset\addDecorator.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-actions\dist\esm\preset\addArgs.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addDecorator.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addParameter.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-measure\dist\esm\preset\addDecorator.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-outline\dist\esm\preset\addDecorator.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-interactions\dist\esm\preset\argsEnhancers.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\.storybook\preview.js-generated-config-entry.js C:\Users\mark\Desktop\sandbox\taskbox\generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 10% building 4/14 modules 10 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\react\dist\esm\client\preview\config-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/15 modules 11 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\module.js
<s> [webpack.Progress] 10% building 4/16 modules 12 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\config.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/17 modules 13 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 5/17 modules 12 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 6/17 modules 11 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 7/17 modules 10 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 8/17 modules 9 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 9/17 modules 8 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 10/17 modules 7 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 11/17 modules 6 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 12/17 modules 5 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 13/17 modules 4 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 14/17 modules 3 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 15/17 modules 2 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\module.js
<s> [webpack.Progress] 11% building 16/17 modules 1 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\module.js
<s> [webpack.Progress] 11% building 16/18 modules 2 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\core-server\node_modules\@storybook\core-client\dist\esm\globals\polyfills.js
<s> [webpack.Progress] 11% building 16/19 modules 3 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\core-server\node_modules\@storybook\core-client\dist\esm\globals\globals.js
<s> [webpack.Progress] 11% building 16/20 modules 4 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-links\dist\esm\preset\addDecorator.js
<s> [webpack.Progress] 11% building 16/21 modules 5 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-actions\dist\esm\preset\addDecorator.js
<s> [webpack.Progress] 11% building 16/22 modules 6 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-actions\dist\esm\preset\addArgs.js
<s> [webpack.Progress] 11% building 16/23 modules 7 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addDecorator.js
<s> [webpack.Progress] 11% building 16/24 modules 8 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addParameter.js
<s> [webpack.Progress] 11% building 16/25 modules 9 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-measure\dist\esm\preset\addDecorator.js
<s> [webpack.Progress] 11% building 16/26 modules 10 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-outline\dist\esm\preset\addDecorator.js
<s> [webpack.Progress] 11% building 16/27 modules 11 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-interactions\dist\esm\preset\argsEnhancers.js
<s> [webpack.Progress] 11% building 16/28 modules 12 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\config.js
<s> [webpack.Progress] 11% building 16/29 modules 13 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js
<s> [webpack.Progress] 12% building 17/29 modules 12 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js
<s> [webpack.Progress] 12% building 17/30 modules 13 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\.storybook\preview.js
<s> [webpack.Progress] 12% building 17/31 modules 14 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\PureInboxScreen.stories.js
<s> [webpack.Progress] 12% building 17/32 modules 15 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\Task.stories.js
<s> [webpack.Progress] 12% building 17/33 modules 16 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 12% building 18/33 modules 15 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 12% building 19/33 modules 14 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 12% building 20/33 modules 13 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 12% building 21/33 modules 12 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 12% building 22/33 modules 11 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 12% building 23/33 modules 10 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 12% building 24/33 modules 9 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 13% building 25/33 modules 8 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 13% building 26/33 modules 7 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 13% building 27/33 modules 6 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 13% building 28/33 modules 5 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 13% building 29/33 modules 4 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 13% building 29/34 modules 5 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\react\dist\esm\client\preview\config.js
<s> [webpack.Progress] 13% building 30/34 modules 4 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\react\dist\esm\client\preview\config.js
<s> [webpack.Progress] 13% building 30/35 modules 5 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\react\dist\esm\client\index.js
<s> [webpack.Progress] 13% building 31/35 modules 4 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\react\dist\esm\client\index.js
<s> [webpack.Progress] 13% building 32/35 modules 3 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\react\dist\esm\client\index.js
<s> [webpack.Progress] 13% building 33/35 modules 2 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\react\dist\esm\client\index.js
<s> [webpack.Progress] 14% building 34/35 modules 1 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\mark\Desktop\sandbox\taskbox\src\components\TaskList.stories.js
Browserslist: caniuse-lite is outdated. Please run:
npx browserslist@latest --update-db

Why you should do it regularly:
https://github.com/browserslist/browserslist#browsers-data-updating
<s> [webpack.Progress] 14% building 34/36 modules 2 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-links\dist\esm\index.js
<s> [webpack.Progress] 14% building 34/37 modules 3 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-actions\dist\esm\index.js
<s> [webpack.Progress] 14% building 34/38 modules 4 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-actions\dist\esm\preset\addArgsHelpers.js
<s> [webpack.Progress] 14% building 34/39 modules 5 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-measure\dist\esm\withMeasure.js
<s> [webpack.Progress] 14% building 34/40 modules 6 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-measure\dist\esm\constants.js
<s> [webpack.Progress] 14% building 34/41 modules 7 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-outline\dist\esm\withOutline.js
<s> [webpack.Progress] 14% building 34/42 modules 8 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-outline\dist\esm\constants.js
<s> [webpack.Progress] 14% building 34/43 modules 9 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\enhanceArgTypes.js
<s> [webpack.Progress] 14% building 34/44 modules 10 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\extractArgTypes.js
<s> [webpack.Progress] 14% building 34/45 modules 11 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\jsxDecorator.js
<s> [webpack.Progress] 14% building 34/46 modules 12 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 14% building 35/46 modules 11 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 14% building 36/46 modules 10 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 14% building 37/46 modules 9 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 14% building 38/46 modules 8 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 14% building 39/46 modules 7 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 14% building 40/46 modules 6 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 14% building 41/46 modules 5 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 15% building 42/46 modules 4 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 15% building 43/46 modules 3 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 15% building 44/46 modules 2 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 15% building 45/46 modules 1 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 15% building 45/47 modules 2 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\mini-css-extract-plugin\dist\loader.js??ref--9-oneOf-4-0!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\css-loader\dist\cjs.js??ref--9-oneOf-4-1!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\postcss-loader\src\index.js??postcss!C:\Users\mark\Desktop\sandbox\taskbox\src\index.css
<s> [webpack.Progress] 15% building 46/47 modules 1 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\mini-css-extract-plugin\dist\loader.js??ref--9-oneOf-4-0!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\css-loader\dist\cjs.js??ref--9-oneOf-4-1!C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\postcss-loader\src\index.js??postcss!C:\Users\mark\Desktop\sandbox\taskbox\src\index.css
<s> [webpack.Progress] 15% building 46/48 modules 2 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\src\components\InboxScreen.js
<s> [webpack.Progress] 15% building 46/49 modules 3 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\mark\Desktop\sandbox\taskbox\src\components\Task.js
<s> [webpack.Progress] 15% building 46/50 modules 4 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.array.slice.js
<s> [webpack.Progress] 15% building 46/51 modules 5 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.object.entries.js
<s> [webpack.Progress] 15% building 46/52 modules 6 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.symbol.js
<s> [webpack.Progress] 15% building 46/53 modules 7 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.symbol.description.js
<s> [webpack.Progress] 15% building 46/54 modules 8 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.object.to-string.js
<s> [webpack.Progress] 15% building 46/55 modules 9 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.symbol.iterator.js
<s> [webpack.Progress] 15% building 46/56 modules 10 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.string.iterator.js
<s> [webpack.Progress] 15% building 46/57 modules 11 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.array.iterator.js
<s> [webpack.Progress] 15% building 46/58 modules 12 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\web.dom-collections.iterator.js
<s> [webpack.Progress] 15% building 46/59 modules 13 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.object.freeze.js
<s> [webpack.Progress] 15% building 46/60 modules 14 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.regexp.constructor.js
<s> [webpack.Progress] 15% building 46/61 modules 15 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.regexp.exec.js
<s> [webpack.Progress] 15% building 46/62 modules 16 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.regexp.to-string.js
<s> [webpack.Progress] 15% building 46/63 modules 17 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.array.filter.js
<s> [webpack.Progress] 15% building 46/64 modules 18 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\react\dist\esm\client\preview\render.js
<s> [webpack.Progress] 15% building 46/65 modules 19 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\client-logger\dist\esm\index.js
<s> [webpack.Progress] 15% building 46/66 modules 20 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\@storybook\react\dist\esm\client\preview\types-6-3.js
<s> [webpack.Progress] 15% building 46/67 modules 21 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.function.name.js
<s> [webpack.Progress] 15% building 46/68 modules 22 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\regenerator-runtime\runtime.js
<s> [webpack.Progress] 15% building 46/69 modules 23 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.promise.js
<s> [webpack.Progress] 15% building 46/70 modules 24 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.array.from.js
<s> [webpack.Progress] 15% building 47/70 modules 23 active C:\Users\mark\Desktop\sandbox\taskbox\node_modules\core-js\modules\es.array.from.js
